,name,id,first,nested
0,Bears Paw Mountains and Southern Blaine,MTZ311,Winter Weather Advisory,"['{""event"":""Winter Weather Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Snow. Additional snow accumulations up to 3 inches. Winds gusting as high as 35 mph.<\\/li>\\n<li> <b>WHERE: <\\/b>Bears Paw Mountains and Southern Blaine County.<\\/li>\\n<li> <b>WHEN: <\\/b>Until 6 AM MDT Friday.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Plan on slippery road conditions.<\\/li>\\n<\\/ul>"",""headline"":""Winter Weather Advisory issued May 2 at 2:17PM MDT until May 3 at 6:00AM MDT by NWS Great Falls MT"",""instruction"":""Slow down and use caution while traveling. The latest road\\nconditions can be obtained by calling 5 1 1 or visiting the MDT Road\\nReport website.\\n\\nTo see a graphical representation of the degree of stress on young\\nlivestock please visit our webpage and select Local Programs then\\nCold Air Advisory for Newborn Livestock."",""ends"":""2024-05-03T06:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T14:17:00-06:00"",""name"":""Bears Paw Mountains and Southern Blaine"",""id"":""MTZ311""}']"
1,"Big Belt, Bridger and Castle Mountains",MTZ320,Winter Weather Advisory,"['{""event"":""Winter Weather Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Snow. Additional snow accumulations up to two inches. Winds gusting as high as 35 mph.<\\/li>\\n<li> <b>WHERE: <\\/b>Big Belt, Bridger and Castle Mountains and Snowy and Judith Mountains.<\\/li>\\n<li> <b>WHEN: <\\/b>Until 6 PM MDT this evening.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Travel could be difficult. Areas of blowing and drifting snow could reduce visibility.<\\/li>\\n<\\/ul>"",""headline"":""Winter Weather Advisory issued May 2 at 2:17PM MDT until May 2 at 6:00PM MDT by NWS Great Falls MT"",""instruction"":""Slow down and use caution while traveling. The latest road\\nconditions can be obtained by calling 5 1 1 or visiting the MDT Road\\nReport website.\\n\\nTo see a graphical representation of the degree of stress on young\\nlivestock please visit our webpage and select Local Programs then\\nCold Air Advisory for Newborn Livestock."",""ends"":""2024-05-02T18:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T14:17:00-06:00"",""name"":""Big Belt, Bridger and Castle Mountains"",""id"":""MTZ320""}']"
2,Carter,MTZ037,Special Weather Statement,"['{""event"":""Special Weather Statement"",""description"":""Expect scattered showers and isolated thunderstorms across the\\nregion this afternoon. Wind gusts of 35 to 55 mph are the main\\nthreat with this activity, along with a chance for small hail.\\nShower activity and associated wind should diminish around sunset\\nthis evening.\\n\\nDrivers should be prepared for sudden strong crosswinds. Please\\nsecure loose items to prevent damage from wind lifted debris.\\n\\nLocations impacted include...\\nSheridan, Miles City, Hardin, Colstrip, Forsyth, Baker, Broadus,\\nEkalaka, Hysham, Ranchester, Dayton, Lodge Grass, Lame Deer,\\nRidgeway, Volborg, Pryor, Alzada, Crow Agency, Ashland, and Busby."",""headline"":""Special Weather Statement issued May 2 at 1:40PM MDT by NWS Billings MT"",""instruction"":null,""ends"":null,""severity"":""Moderate"",""certainty"":""Observed"",""onset"":""2024-05-02T13:40:00-06:00"",""name"":""Carter"",""id"":""MTZ037""}']"
3,Central and Southeast Phillips,MTZ016,Lake Wind Advisory,"['{""event"":""Lake Wind Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Northwest winds 15 to 25 mph with gusts up to 35 mph expected.<\\/li>\\n<li> <b>WHERE: <\\/b>Fort Peck Lake.<\\/li>\\n<li> <b>WHEN: <\\/b>From 10 AM this morning to 8 PM MDT this evening.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Strong winds and rough waves on area lakes will create hazardous conditions for small craft.<\\/li>\\n<li> <b>ADDITIONAL DETAILS: <\\/b>Rain and snow showers are expected today and tonight with cold temperatures that will increase the risk of hypothermia.<\\/li>\\n<\\/ul>"",""headline"":""Lake Wind Advisory issued May 2 at 2:56AM MDT until May 2 at 8:00PM MDT by NWS Glasgow MT"",""instruction"":""Boaters on Fort Peck Lake should use extra caution since strong\\nwinds and rough waves can overturn small craft."",""ends"":""2024-05-02T20:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T10:00:00-06:00"",""name"":""Central and Southeast Phillips"",""id"":""MTZ016""}']"
4,Central and Southern Valley,MTZ017,Lake Wind Advisory,"['{""event"":""Lake Wind Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Northwest winds 15 to 25 mph with gusts up to 35 mph expected.<\\/li>\\n<li> <b>WHERE: <\\/b>Fort Peck Lake.<\\/li>\\n<li> <b>WHEN: <\\/b>From 10 AM this morning to 8 PM MDT this evening.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Strong winds and rough waves on area lakes will create hazardous conditions for small craft.<\\/li>\\n<li> <b>ADDITIONAL DETAILS: <\\/b>Rain and snow showers are expected today and tonight with cold temperatures that will increase the risk of hypothermia.<\\/li>\\n<\\/ul>"",""headline"":""Lake Wind Advisory issued May 2 at 2:56AM MDT until May 2 at 8:00PM MDT by NWS Glasgow MT"",""instruction"":""Boaters on Fort Peck Lake should use extra caution since strong\\nwinds and rough waves can overturn small craft."",""ends"":""2024-05-02T20:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T10:00:00-06:00"",""name"":""Central and Southern Valley"",""id"":""MTZ017""}']"
5,Custer,MTZ032,Special Weather Statement,"['{""event"":""Special Weather Statement"",""description"":""Expect scattered showers and isolated thunderstorms across the\\nregion this afternoon. Wind gusts of 35 to 55 mph are the main\\nthreat with this activity, along with a chance for small hail.\\nShower activity and associated wind should diminish around sunset\\nthis evening.\\n\\nDrivers should be prepared for sudden strong crosswinds. Please\\nsecure loose items to prevent damage from wind lifted debris.\\n\\nLocations impacted include...\\nSheridan, Miles City, Hardin, Colstrip, Forsyth, Baker, Broadus,\\nEkalaka, Hysham, Ranchester, Dayton, Lodge Grass, Lame Deer,\\nRidgeway, Volborg, Pryor, Alzada, Crow Agency, Ashland, and Busby."",""headline"":""Special Weather Statement issued May 2 at 1:40PM MDT by NWS Billings MT"",""instruction"":null,""ends"":null,""severity"":""Moderate"",""certainty"":""Observed"",""onset"":""2024-05-02T13:40:00-06:00"",""name"":""Custer"",""id"":""MTZ032""}']"
6,Fallon,MTZ033,Special Weather Statement,"['{""event"":""Special Weather Statement"",""description"":""Expect scattered showers and isolated thunderstorms across the\\nregion this afternoon. Wind gusts of 35 to 55 mph are the main\\nthreat with this activity, along with a chance for small hail.\\nShower activity and associated wind should diminish around sunset\\nthis evening.\\n\\nDrivers should be prepared for sudden strong crosswinds. Please\\nsecure loose items to prevent damage from wind lifted debris.\\n\\nLocations impacted include...\\nSheridan, Miles City, Hardin, Colstrip, Forsyth, Baker, Broadus,\\nEkalaka, Hysham, Ranchester, Dayton, Lodge Grass, Lame Deer,\\nRidgeway, Volborg, Pryor, Alzada, Crow Agency, Ashland, and Busby."",""headline"":""Special Weather Statement issued May 2 at 1:40PM MDT by NWS Billings MT"",""instruction"":null,""ends"":null,""severity"":""Moderate"",""certainty"":""Observed"",""onset"":""2024-05-02T13:40:00-06:00"",""name"":""Fallon"",""id"":""MTZ033""}']"
7,Garfield,MTZ022,Lake Wind Advisory,"['{""event"":""Lake Wind Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Northwest winds 15 to 25 mph with gusts up to 35 mph expected.<\\/li>\\n<li> <b>WHERE: <\\/b>Fort Peck Lake.<\\/li>\\n<li> <b>WHEN: <\\/b>From 10 AM this morning to 8 PM MDT this evening.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Strong winds and rough waves on area lakes will create hazardous conditions for small craft.<\\/li>\\n<li> <b>ADDITIONAL DETAILS: <\\/b>Rain and snow showers are expected today and tonight with cold temperatures that will increase the risk of hypothermia.<\\/li>\\n<\\/ul>"",""headline"":""Lake Wind Advisory issued May 2 at 2:56AM MDT until May 2 at 8:00PM MDT by NWS Glasgow MT"",""instruction"":""Boaters on Fort Peck Lake should use extra caution since strong\\nwinds and rough waves can overturn small craft."",""ends"":""2024-05-02T20:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T10:00:00-06:00"",""name"":""Garfield"",""id"":""MTZ022""}']"
8,Judith Basin County and Judith Gap,MTZ313,Winter Weather Advisory,"['{""event"":""Winter Weather Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Snow. Additional snow accumulations up to two inches.<\\/li>\\n<li> <b>WHERE: <\\/b>Judith Basin County and Judith Gap.<\\/li>\\n<li> <b>WHEN: <\\/b>Until 6 PM MDT this evening.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Plan on slippery road conditions.<\\/li>\\n<\\/ul>"",""headline"":""Winter Weather Advisory issued May 2 at 2:17PM MDT until May 2 at 6:00PM MDT by NWS Great Falls MT"",""instruction"":""Slow down and use caution while traveling. The latest road\\nconditions can be obtained by calling 5 1 1 or visiting the MDT Road\\nReport website.\\n\\nTo see a graphical representation of the degree of stress on young\\nlivestock please visit our webpage and select Local Programs then\\nCold Air Advisory for Newborn Livestock."",""ends"":""2024-05-02T18:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T14:17:00-06:00"",""name"":""Judith Basin County and Judith Gap"",""id"":""MTZ313""}']"
9,Little Belt and Highwood Mountains,MTZ317,Winter Weather Advisory,"['{""event"":""Winter Weather Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Snow. Additional snow accumulations up to three inches.<\\/li>\\n<li> <b>WHERE: <\\/b>Little Belt and Highwood Mountains.<\\/li>\\n<li> <b>WHEN: <\\/b>Until 6 PM MDT this evening.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Plan on slippery road conditions.<\\/li>\\n<\\/ul>"",""headline"":""Winter Weather Advisory issued May 2 at 2:17PM MDT until May 2 at 6:00PM MDT by NWS Great Falls MT"",""instruction"":""Slow down and use caution while traveling. The latest road\\nconditions can be obtained by calling 5 1 1 or visiting the MDT Road\\nReport website.\\n\\nTo see a graphical representation of the degree of stress on young\\nlivestock please visit our webpage and select Local Programs then\\nCold Air Advisory for Newborn Livestock."",""ends"":""2024-05-02T18:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T14:17:00-06:00"",""name"":""Little Belt and Highwood Mountains"",""id"":""MTZ317""}']"
10,McCone,MTZ023,Lake Wind Advisory,"['{""event"":""Lake Wind Advisory"",""description"":""<ul>\\n<li> <b>WHAT: <\\/b>Northwest winds 15 to 25 mph with gusts up to 35 mph expected.<\\/li>\\n<li> <b>WHERE: <\\/b>Fort Peck Lake.<\\/li>\\n<li> <b>WHEN: <\\/b>From 10 AM this morning to 8 PM MDT this evening.<\\/li>\\n<li> <b>IMPACTS: <\\/b>Strong winds and rough waves on area lakes will create hazardous conditions for small craft.<\\/li>\\n<li> <b>ADDITIONAL DETAILS: <\\/b>Rain and snow showers are expected today and tonight with cold temperatures that will increase the risk of hypothermia.<\\/li>\\n<\\/ul>"",""headline"":""Lake Wind Advisory issued May 2 at 2:56AM MDT until May 2 at 8:00PM MDT by NWS Glasgow MT"",""instruction"":""Boaters on Fort Peck Lake should use extra caution since strong\\nwinds and rough waves can overturn small craft."",""ends"":""2024-05-02T20:00:00-06:00"",""severity"":""Moderate"",""certainty"":""Likely"",""onset"":""2024-05-02T10:00:00-06:00"",""name"":""McCone"",""id"":""MTZ023""}']"
11,Northern Big Horn,MTZ057,Special Weather Statement,"['{""event"":""Special Weather Statement"",""description"":""Expect scattered showers and isolated thunderstorms across the\\nregion this afternoon. Wind gusts of 35 to 55 mph are the main\\nthreat with this activity, along with a chance for small hail.\\nShower activity and associated wind should diminish around sunset\\nthis evening.\\n\\nDrivers should be prepared for sudden strong crosswinds. Please\\nsecure loose items to prevent damage from wind lifted debris.\\n\\nLocations impacted include...\\nSheridan, Miles City, Hardin, Colstrip, Forsyth, Baker, Broadus,\\nEkalaka, Hysham, Ranchester, Dayton, Lodge Grass, Lame Deer,\\nRidgeway, Volborg, Pryor, Alzada, Crow Agency, Ashland, and Busby."",""headline"":""Special Weather Statement issued May 2 at 1:40PM MDT by NWS Billings MT"",""instruction"":null,""ends"":null,""severity"":""Moderate"",""certainty"":""Observed"",""onset"":""2024-05-02T13:40:00-06:00"",""name"":""Northern Big Horn"",""id"":""MTZ057""}']"
